Epoch: 20 |train loss: 0.0295 |test accuracy: 0.98
Epoch: 20 |train loss: 0.0261 |test accuracy: 0.98
Epoch: 21 |train loss: 0.0666 |test accuracy: 0.98
Epoch: 21 |train loss: 0.0553 |test accuracy: 0.98
Epoch: 21 |train loss: 0.0681 |test accuracy: 0.98
Epoch: 21 |train loss: 0.0286 |test accuracy: 0.98
Epoch: 21 |train loss: 0.0510 |test accuracy: 0.98
Epoch: 22 |train loss: 0.0569 |test accuracy: 0.98
Epoch: 22 |train loss: 0.0483 |test accuracy: 0.98
Epoch: 22 |train loss: 0.0569 |test accuracy: 0.98
Epoch: 22 |train loss: 0.0592 |test accuracy: 0.98
Epoch: 22 |train loss: 0.0366 |test accuracy: 0.98
Epoch: 23 |train loss: 0.0954 |test accuracy: 0.98
Epoch: 23 |train loss: 0.0716 |test accuracy: 0.98
Epoch: 23 |train loss: 0.0329 |test accuracy: 0.98
Epoch: 23 |train loss: 0.0358 |test accuracy: 0.99
Epoch: 23 |train loss: 0.0523 |test accuracy: 0.99
Epoch: 24 |train loss: 0.0542 |test accuracy: 0.99
Epoch: 24 |train loss: 0.0513 |test accuracy: 0.98
Epoch: 24 |train loss: 0.0319 |test accuracy: 0.99
Epoch: 24 |train loss: 0.0135 |test accuracy: 0.99
Epoch: 24 |train loss: 0.0562 |test accuracy: 0.99
Epoch: 25 |train loss: 0.0454 |test accuracy: 0.99
Epoch: 25 |train loss: 0.0486 |test accuracy: 0.99
Epoch: 25 |train loss: 0.0460 |test accuracy: 0.99
Epoch: 25 |train loss: 0.0609 |test accuracy: 0.99
Epoch: 25 |train loss: 0.0334 |test accuracy: 0.99
Epoch: 26 |train loss: 0.0486 |test accuracy: 0.99
Epoch: 26 |train loss: 0.0588 |test accuracy: 0.99
Epoch: 26 |train loss: 0.0425 |test accuracy: 0.99
Epoch: 26 |train loss: 0.0752 |test accuracy: 0.99
Epoch: 26 |train loss: 0.0553 |test accuracy: 0.99
Epoch: 27 |train loss: 0.0615 |test accuracy: 0.99
Epoch: 27 |train loss: 0.0232 |test accuracy: 0.99
Epoch: 27 |train loss: 0.0649 |test accuracy: 0.99
Epoch: 27 |train loss: 0.0383 |test accuracy: 0.99
Epoch: 27 |train loss: 0.0230 |test accuracy: 0.99
Epoch: 28 |train loss: 0.0431 |test accuracy: 0.99
Epoch: 28 |train loss: 0.0867 |test accuracy: 0.99
Epoch: 28 |train loss: 0.0593 |test accuracy: 0.99
Epoch: 28 |train loss: 0.0610 |test accuracy: 0.99
Epoch: 28 |train loss: 0.0233 |test accuracy: 0.99
Epoch: 29 |train loss: 0.0421 |test accuracy: 0.99
Epoch: 29 |train loss: 0.0481 |test accuracy: 0.99
Epoch: 29 |train loss: 0.0468 |test accuracy: 0.99
Epoch: 29 |train loss: 0.0319 |test accuracy: 0.99
Epoch: 29 |train loss: 0.0468 |test accuracy: 0.99
Epoch: 30 |train loss: 0.0266 |test accuracy: 0.99
Epoch: 30 |train loss: 0.1033 |test accuracy: 0.99
Epoch: 30 |train loss: 0.0402 |test accuracy: 0.99
Epoch: 30 |train loss: 0.0735 |test accuracy: 0.99
Epoch: 30 |train loss: 0.0280 |test accuracy: 0.99
Epoch: 31 |train loss: 0.0224 |test accuracy: 0.99
Epoch: 31 |train loss: 0.0140 |test accuracy: 0.99
Epoch: 31 |train loss: 0.0676 |test accuracy: 0.99
Epoch: 31 |train loss: 0.0745 |test accuracy: 0.99
Epoch: 31 |train loss: 0.0736 |test accuracy: 0.99
Epoch: 32 |train loss: 0.0193 |test accuracy: 0.99
Epoch: 32 |train loss: 0.0185 |test accuracy: 0.99
Epoch: 32 |train loss: 0.0350 |test accuracy: 0.99
Epoch: 32 |train loss: 0.0700 |test accuracy: 0.99
Epoch: 32 |train loss: 0.0439 |test accuracy: 0.99
Epoch: 33 |train loss: 0.0370 |test accuracy: 0.99
Epoch: 33 |train loss: 0.0323 |test accuracy: 0.99
Epoch: 33 |train loss: 0.0453 |test accuracy: 0.99
Epoch: 33 |train loss: 0.0459 |test accuracy: 0.99
Epoch: 33 |train loss: 0.0370 |test accuracy: 0.99
Epoch: 34 |train loss: 0.0396 |test accuracy: 0.99
Epoch: 34 |train loss: 0.0266 |test accuracy: 0.99
Epoch: 34 |train loss: 0.0108 |test accuracy: 0.99
Epoch: 34 |train loss: 0.0163 |test accuracy: 0.99
Epoch: 34 |train loss: 0.0673 |test accuracy: 0.99
Epoch: 35 |train loss: 0.0562 |test accuracy: 0.99
Epoch: 35 |train loss: 0.0332 |test accuracy: 0.99
Epoch: 35 |train loss: 0.0560 |test accuracy: 0.99
Epoch: 35 |train loss: 0.0369 |test accuracy: 0.99
Epoch: 35 |train loss: 0.0212 |test accuracy: 0.99
Epoch: 36 |train loss: 0.0276 |test accuracy: 0.99
Epoch: 36 |train loss: 0.0210 |test accuracy: 0.99
Epoch: 36 |train loss: 0.0259 |test accuracy: 0.99
Epoch: 36 |train loss: 0.0965 |test accuracy: 0.99
Epoch: 36 |train loss: 0.0276 |test accuracy: 0.99
Epoch: 37 |train loss: 0.0256 |test accuracy: 0.99
Epoch: 37 |train loss: 0.0352 |test accuracy: 0.99
Epoch: 37 |train loss: 0.0498 |test accuracy: 0.99
Epoch: 37 |train loss: 0.0351 |test accuracy: 0.99
Epoch: 37 |train loss: 0.0265 |test accuracy: 0.99
Epoch: 38 |train loss: 0.0373 |test accuracy: 0.99
Epoch: 38 |train loss: 0.0210 |test accuracy: 0.99
Epoch: 38 |train loss: 0.0584 |test accuracy: 0.99
Epoch: 38 |train loss: 0.0166 |test accuracy: 0.99
Epoch: 38 |train loss: 0.0387 |test accuracy: 0.99
Epoch: 39 |train loss: 0.0157 |test accuracy: 0.99
Epoch: 39 |train loss: 0.0386 |test accuracy: 0.99
Epoch: 39 |train loss: 0.0178 |test accuracy: 0.99
Epoch: 39 |train loss: 0.0365 |test accuracy: 0.99
Epoch: 39 |train loss: 0.0509 |test accuracy: 0.99
